Gender,Bike_related_purchases,DOB,Job_Industry,Wealth_Segment,Owns_Car,Tenure
0,4,7,3,0,1,13
0,4,7,3,1,0,19
0,4,7,6,0,1,17
1,4,7,2,2,0,10
0,4,7,3,0,1,7
0,4,7,2,2,1,14
1,4,7,5,0,0,2
1,4,7,7,0,1,4
0,4,7,9,0,0,11
0,4,7,2,0,1,4
0,4,7,1,1,0,2
0,4,7,6,1,0,13
1,4,7,6,1,0,10
0,4,7,2,0,1,18
0,4,7,5,2,0,21
0,4,7,2,2,1,1
1,4,7,8,1,1,2
1,4,7,2,0,1,4
1,4,7,1,1,0,17
0,4,7,5,0,0,18
1,4,7,2,0,1,10
1,4,7,7,0,0,12
1,4,7,5,2,0,2
0,4,7,7,1,1,8
1,4,7,1,2,1,6
1,4,7,2,2,1,11
1,4,7,2,2,0,13
1,4,7,8,0,0,6
0,4,7,3,1,1,15
1,4,7,5,0,1,13
1,4,7,2,0,0,11
0,4,7,0,0,0,20
0,4,7,4,0,1,18
1,4,7,6,0,0,9
1,4,7,5,0,1,10
U,4,7,4,2,1,
1,4,7,7,0,0,14
1,4,7,7,1,0,13
1,4,7,3,1,1,22
1,4,7,2,0,0,22
1,4,7,3,0,1,9
1,4,7,2,1,1,18
0,4,7,5,2,1,17
0,4,7,6,2,1,17
0,4,7,0,0,0,19
1,4,7,5,0,1,22
1,4,7,4,0,0,13
1,4,7,6,0,0,21
1,4,7,2,0,1,8
0,4,7,2,0,1,3
1,4,7,3,2,1,6
1,4,7,2,0,0,3
1,4,7,2,2,1,22
0,4,7,5,0,1,14
1,4,7,5,1,0,15
1,4,7,8,2,0,1
0,4,7,3,2,1,9
U,4,7,4,0,1,
0,4,7,1,1,1,16
1,4,7,3,0,0,1
1,4,7,7,0,1,12
0,4,7,5,2,1,9
0,4,7,2,1,1,8
1,4,7,2,0,0,15
U,4,7,4,1,0,
0,4,7,2,0,1,5
U,4,7,4,1,0,
0,4,7,8,0,0,14
0,4,7,3,0,0,16
0,4,7,5,0,1,8
0,4,7,2,0,1,6
0,4,7,2,2,1,10
1,4,7,6,0,1,6
1,4,7,2,0,1,14
0,4,7,5,1,0,14
1,4,7,6,1,1,6
0,4,7,6,0,1,8
1,4,7,5,0,0,2
0,4,7,2,0,1,19
1,4,7,4,0,0,2
1,4,7,7,1,1,2
0,4,7,2,0,0,19
1,4,7,3,1,0,16
1,4,7,6,0,1,8
0,4,7,0,1,0,1
0,4,7,5,1,1,7
1,4,7,2,0,0,3
1,4,7,2,1,1,11
1,4,7,9,0,0,10
1,4,7,2,2,1,19
0,4,7,6,0,1,18
0,4,7,8,2,1,10
0,4,7,2,0,0,14
1,4,7,3,1,0,15
0,4,7,6,2,0,1
0,4,7,6,0,0,18
0,4,7,5,0,1,14
1,4,7,4,0,1,12
0,4,7,6,0,1,7
0,4,7,2,0,0,14
0,4,7,2,2,0,14
1,4,7,5,1,1,1
1,4,7,7,1,1,17
0,4,7,8,1,0,7
1,4,7,5,2,0,5
1,4,7,2,2,1,8
0,4,7,8,2,0,18
1,4,7,3,0,0,3
1,4,7,1,0,0,7
0,4,7,2,0,0,10
1,4,7,6,2,1,4
0,4,7,1,0,0,3
0,4,7,8,0,1,1
1,4,7,6,0,0,21
1,4,7,5,0,1,14
1,4,7,7,0,1,6
1,4,7,2,0,1,18
1,4,7,6,2,1,10
0,4,7,8,2,0,18
1,4,7,5,0,0,21
0,4,7,8,0,1,19
0,4,7,5,0,1,11
0,4,7,7,2,1,19
0,4,7,2,0,1,15
1,4,7,5,0,1,11
0,4,7,9,1,0,12
0,4,7,7,0,0,6
0,4,7,2,2,1,14
1,4,7,5,2,0,1
1,4,7,2,2,1,21
1,4,7,6,1,1,16
1,4,7,5,0,0,1
1,4,7,8,0,0,18
1,4,7,2,2,1,21
1,4,7,3,2,0,19
0,4,7,7,2,1,9
0,4,7,2,1,0,10
1,4,7,2,1,0,3
1,4,7,5,1,0,11
1,4,7,5,2,1,8
0,4,7,8,0,0,14
1,4,7,3,2,0,4
0,4,7,5,2,0,7
0,4,7,3,1,1,8
1,4,7,6,1,0,13
1,4,7,6,2,1,19
0,4,7,2,1,0,14
1,4,7,4,0,1,8
0,4,7,5,0,0,18
1,4,7,5,0,1,2
0,4,7,6,2,1,11
0,4,7,7,0,1,4
0,4,7,2,2,1,6
1,4,7,0,0,0,6
1,4,7,2,2,1,16
0,4,7,5,0,1,13
1,4,7,2,2,1,15
0,4,7,2,1,1,5
0,4,7,4,1,0,19
0,4,7,2,1,0,19
0,4,7,1,0,0,1
1,4,7,5,2,1,1
1,4,7,2,0,0,11
0,4,7,3,2,0,18
1,4,7,2,1,1,5
0,4,7,5,0,1,12
1,4,7,7,0,0,18
0,4,7,5,2,0,17
0,4,7,6,1,0,16
0,4,7,1,2,0,16
1,4,7,6,1,0,16
1,4,7,3,0,1,12
1,4,7,7,0,0,9
1,4,7,2,1,0,3
1,4,7,1,2,1,19
1,4,7,2,1,1,7
0,4,7,6,1,0,16
0,4,7,5,0,1,16
1,4,7,8,0,1,15
1,4,7,5,2,0,15
1,4,7,5,1,1,15
1,4,7,2,1,0,11
1,4,7,3,2,1,6
0,4,7,8,1,1,19
1,4,7,8,0,0,10
0,4,7,5,2,1,16
0,4,7,4,2,1,14
0,4,7,6,0,1,12
1,4,7,7,1,1,11
U,4,7,4,0,1,
1,4,7,2,0,1,18
1,4,7,5,1,1,20
1,4,7,6,2,1,13
1,4,7,2,0,1,14
0,4,7,6,2,1,18
1,4,7,5,2,0,11
0,4,7,6,0,0,4
0,4,7,3,0,0,13
1,4,7,7,0,0,4
0,4,7,6,1,1,1
0,4,7,6,1,0,19
1,4,7,3,1,0,10
0,4,7,6,0,0,9
1,4,7,8,0,0,21
1,4,7,3,0,1,18
0,4,7,3,0,1,19
1,4,7,3,0,0,10
1,4,7,2,0,0,17
0,4,7,6,1,1,18
0,4,7,1,0,1,19
1,4,7,2,2,0,6
1,4,7,3,0,0,1
1,4,7,5,0,1,9
1,4,7,2,1,0,5
0,4,7,5,1,1,3
0,4,7,1,1,0,6
0,4,7,2,1,0,4
1,4,7,8,0,1,4
0,4,7,5,0,1,7
1,4,7,7,2,1,12
0,4,7,3,2,0,11
0,4,7,9,0,1,17
0,4,7,3,0,0,7
1,4,7,1,0,0,18
1,4,7,1,2,0,11
0,4,7,7,0,0,12
0,4,7,6,0,0,12
1,4,7,3,0,0,3
0,4,7,7,1,1,11
1,4,7,2,1,0,17
0,4,7,6,1,1,18
1,4,7,2,1,0,22
1,4,7,3,2,0,10
U,4,7,4,0,0,
1,4,7,6,2,1,9
1,4,7,6,0,0,19
0,4,7,7,0,0,7
0,4,7,6,0,0,14
0,4,7,8,2,1,7
1,4,7,3,2,1,12
0,4,7,5,2,0,16
1,4,7,5,1,0,12
1,4,7,3,1,1,10
0,4,7,5,0,1,14
1,4,7,5,0,0,10
1,4,7,5,0,0,1
0,4,7,7,1,0,9
U,4,7,2,0,1,
1,4,7,8,0,0,16
1,4,7,9,2,0,5
0,4,7,6,1,1,1
0,4,7,3,0,0,3
U,4,7,4,0,0,
1,4,7,8,0,0,15
1,4,7,3,0,0,19
0,4,7,6,1,0,14
0,4,7,6,1,1,13
1,4,7,5,0,0,18
1,4,7,6,1,0,8
0,4,7,7,0,1,15
0,4,7,7,2,1,4
1,4,7,6,0,0,9
U,4,7,3,0,1,
1,4,7,7,1,0,20
0,4,7,7,1,1,18
1,4,7,2,2,1,5
1,4,7,7,0,1,13
0,4,7,2,1,1,18
1,4,7,3,2,1,11
0,4,7,2,0,1,4
1,4,7,2,1,1,7
0,4,7,7,1,0,2
1,4,7,2,0,1,18
1,4,7,7,1,1,7
1,4,7,3,0,1,1
1,4,7,5,2,0,4
1,4,7,7,0,1,19
1,4,7,5,0,1,5
1,4,7,3,0,1,6
0,4,7,6,1,0,8
1,4,7,2,2,0,1
0,4,7,2,0,1,7
1,4,7,5,2,0,12
0,4,7,5,2,0,8
0,4,7,5,0,1,15
0,4,7,8,2,1,7
0,4,7,1,0,1,12
1,4,7,2,1,0,11
0,4,7,2,2,0,22
1,4,7,2,1,0,12
1,4,7,5,1,0,17
1,4,7,7,0,1,18
0,4,7,6,0,1,6
U,4,7,4,0,1,
1,4,7,5,2,0,1
1,4,7,2,2,0,12
0,4,7,6,2,0,2
1,4,7,4,0,0,10
0,4,7,1,0,0,18
1,4,7,3,0,1,18
0,4,7,1,2,0,7
1,4,7,5,0,0,17
0,4,7,8,1,1,1
0,4,7,5,1,1,14
0,4,7,2,0,0,10
1,4,7,8,0,0,14
0,4,7,3,0,1,16
1,4,7,2,1,1,20
0,4,7,5,0,0,12
1,4,7,3,1,1,16
1,4,7,3,0,1,9
0,4,7,5,1,1,7
0,4,7,3,1,0,2
1,4,7,6,0,1,17
1,4,7,6,1,1,10
0,4,7,8,0,0,11
0,4,7,2,0,1,22
1,4,7,6,0,1,5
1,4,7,6,1,0,15
1,4,7,3,2,0,8
0,4,7,7,1,1,11
0,4,7,7,2,1,9
0,4,7,6,2,0,3
0,4,7,7,0,0,20
0,4,7,9,2,0,11
0,4,7,2,1,0,9
1,4,7,2,2,1,17
1,4,7,5,1,0,11
0,4,7,5,2,0,7
0,4,7,0,2,0,8
1,4,7,3,0,1,12
0,4,7,0,0,1,19
0,4,7,3,0,0,19
0,4,7,2,1,1,19
1,4,7,5,0,1,19
1,4,7,7,0,0,19
0,4,7,5,2,0,14
0,4,7,5,0,1,16
1,4,7,8,2,1,7
0,4,7,6,2,0,18
0,4,7,6,2,1,9
1,4,7,5,0,1,7
1,4,7,3,1,1,17
0,4,7,5,0,0,8
0,4,7,2,0,0,11
U,4,7,4,2,0,
0,4,7,1,0,0,17
1,4,7,5,0,0,5
0,4,7,3,1,1,5
0,3,7,7,0,0,10
1,3,7,7,0,1,13
0,3,7,6,1,0,5
0,3,7,0,0,1,17
0,3,7,2,2,0,19
1,3,7,5,0,0,18
1,3,7,8,1,1,16
0,3,7,6,0,0,2
0,3,7,7,0,0,20
U,3,7,4,0,1,
0,3,7,2,2,0,11
1,3,7,2,0,1,8
0,3,7,6,0,0,18
0,3,7,1,2,1,19
1,3,7,8,0,1,13
1,3,7,2,0,0,16
0,3,7,7,0,0,9
1,3,7,8,0,1,15
1,3,7,2,0,1,1
1,3,7,7,1,0,20
0,3,7,0,1,1,14
1,3,7,3,2,0,4
1,3,7,5,0,0,6
0,3,7,3,0,1,15
0,3,7,5,1,0,9
1,3,7,6,0,0,14
1,3,7,8,0,0,18
0,3,7,3,0,0,10
0,3,7,2,1,0,6
0,3,7,5,0,0,13
0,3,7,3,0,0,22
1,3,7,5,2,1,11
0,3,7,5,2,0,7
1,3,7,4,0,0,13
1,3,7,5,0,1,6
1,3,7,6,2,1,8
0,3,7,8,2,0,18
0,3,7,6,2,1,9
1,3,7,5,0,1,13
0,3,7,2,1,1,8
0,3,7,6,0,1,18
1,3,7,8,0,0,5
0,3,7,5,0,1,16
1,3,7,4,0,1,22
1,3,7,1,2,1,16
1,3,7,6,0,1,17
0,3,7,2,1,1,9
0,3,7,7,0,0,13
1,3,7,2,0,1,8
0,3,7,5,2,1,8
0,3,7,3,1,0,4
1,3,7,5,0,1,7
0,3,7,2,0,1,6
1,3,8,1,1,0,18
1,3,8,3,2,0,22
0,3,8,5,2,0,13
0,3,8,5,2,1,1
0,3,8,5,1,1,13
1,3,8,6,1,0,4
0,3,8,5,2,1,13
1,3,8,7,0,0,20
1,3,8,4,1,1,7
1,3,8,3,2,1,19
0,3,8,9,0,0,21
1,3,8,3,0,0,12
0,3,8,0,1,0,11
1,3,8,3,0,0,16
0,3,8,6,0,0,5
0,3,8,6,1,1,8
1,3,8,6,0,1,17
1,3,8,8,0,0,10
0,3,8,8,1,0,16
0,3,8,5,0,0,16
0,3,8,5,0,0,16
0,3,8,0,2,0,19
0,3,8,5,0,0,11
1,3,8,0,0,1,22
0,3,8,6,1,1,14
1,3,8,5,0,0,5
1,3,8,2,0,1,4
0,3,8,2,0,1,18
1,3,8,5,1,0,3
1,3,8,6,0,1,6
0,3,8,2,1,1,7
1,3,8,7,1,0,2
0,3,8,4,0,0,10
1,3,8,2,1,0,18
1,3,8,5,0,1,16
0,3,8,3,0,1,12
1,3,8,2,2,0,20
1,3,8,6,2,0,9
0,3,8,0,2,0,8
1,3,8,8,1,1,18
1,3,8,7,1,1,8
0,3,8,6,2,0,14
1,3,8,0,0,0,15
U,3,8,4,1,0,
1,3,8,2,0,1,17
0,3,8,2,0,0,3
1,3,8,2,2,1,2
0,3,8,3,2,1,20
1,3,8,8,0,0,18
0,3,8,8,0,1,19
1,3,8,8,2,1,4
1,3,8,2,0,1,1
0,3,8,7,0,0,1
1,3,8,2,0,0,22
1,3,8,1,2,0,17
0,3,8,6,1,1,3
1,3,8,0,1,0,7
1,3,8,2,0,1,6
1,3,8,5,0,1,6
0,3,8,6,0,0,8
0,3,8,4,0,0,4
1,3,8,6,0,0,19
0,3,8,6,1,0,2
0,3,8,8,0,1,11
1,3,8,5,2,1,18
1,3,8,3,1,1,4
0,3,8,4,1,1,16
0,3,8,3,1,1,2
1,3,8,4,1,1,7
0,3,8,7,2,0,2
1,3,8,2,1,1,16
0,3,8,5,2,0,2
0,3,8,5,0,1,5
1,3,8,5,2,0,5
0,3,8,5,1,1,19
0,3,8,2,1,1,6
1,3,8,3,1,0,15
0,3,8,5,1,0,4
1,3,8,4,1,1,16
0,3,8,3,0,1,8
0,3,8,7,2,0,9
0,3,8,6,0,1,5
0,3,8,6,2,1,20
0,3,8,5,1,1,18
0,3,8,5,0,1,13
0,3,8,5,2,0,5
0,3,8,5,0,1,15
1,3,8,3,1,0,6
0,3,8,3,1,0,11
0,3,8,5,0,0,8
1,3,8,6,0,1,18
0,3,8,3,2,1,9
0,3,8,7,1,1,18
0,3,8,2,2,0,18
1,3,8,7,2,1,7
1,3,8,2,0,1,6
1,3,8,2,0,0,7
0,3,8,3,2,0,6
1,3,8,6,0,1,10
0,3,8,5,1,0,13
0,3,8,5,1,0,7
1,3,8,3,0,1,17
1,3,8,5,0,1,12
0,3,8,3,2,1,3
0,3,8,3,1,0,10
1,3,8,5,2,0,2
1,3,8,3,2,0,18
1,3,8,2,2,0,9
U,3,8,2,1,0,
1,3,8,3,0,0,7
1,3,8,2,0,0,3
0,3,8,1,2,1,16
1,3,8,4,0,0,21
0,3,8,2,2,1,19
1,3,8,9,0,1,14
0,3,8,7,2,1,8
0,3,8,1,0,1,16
0,3,8,7,0,0,5
0,3,8,2,2,1,10
1,3,8,3,0,0,13
1,3,8,7,0,0,19
1,3,8,5,1,1,5
0,3,8,8,1,1,13
1,3,8,5,1,0,4
0,3,8,5,0,1,9
0,3,8,8,2,0,9
1,3,8,5,0,0,15
1,3,8,4,1,0,14
0,3,8,3,0,1,4
1,3,8,2,1,0,18
1,3,8,6,2,0,2
1,3,8,2,1,0,6
1,3,8,5,1,0,7
1,3,8,2,1,0,18
0,3,8,4,1,0,22
0,3,8,7,0,0,2
0,3,8,6,0,1,8
0,3,8,3,0,0,16
0,3,8,5,2,0,20
0,3,8,9,1,1,1
1,3,8,6,0,0,3
1,3,8,4,2,0,18
0,3,8,2,2,1,13
1,3,8,3,0,1,9
0,3,8,3,0,1,8
1,3,8,2,0,1,22
0,3,8,2,0,0,4
0,3,8,3,0,0,9
0,3,8,2,0,1,13
U,3,8,4,0,1,
1,3,8,8,2,1,10
1,3,8,7,1,0,7
0,3,8,5,1,0,9
1,3,8,7,1,1,17
1,3,8,5,1,1,3
1,3,8,5,0,0,16
1,3,8,5,1,1,14
1,3,8,5,1,0,10
0,3,8,6,0,0,20
0,3,8,5,0,1,19
0,3,8,2,0,1,11
1,3,8,4,0,1,10
0,3,8,5,1,1,19
1,3,8,6,1,1,15
U,3,8,4,0,0,
1,3,8,9,2,1,5
0,3,8,5,0,0,8
1,3,8,5,0,0,6
0,3,8,7,0,0,13
1,3,8,8,0,0,2
0,3,8,3,1,1,17
0,3,8,2,0,0,22
1,3,8,5,2,0,17
1,3,8,4,1,0,3
1,3,8,6,0,1,4
0,3,8,8,2,0,11
0,3,8,2,2,0,16
0,3,8,2,0,1,2
1,3,8,2,2,1,6
0,3,8,2,0,1,16
1,3,8,7,1,1,14
0,3,8,2,0,0,19
0,3,8,5,2,0,1
0,3,8,6,2,1,18
0,3,8,3,0,1,15
0,3,8,6,2,1,5
0,3,8,2,0,0,6
1,3,8,6,0,1,7
0,3,8,4,0,0,14
1,3,8,2,0,0,15
0,3,8,6,2,1,9
0,3,8,3,0,1,4
1,3,8,7,0,0,15
0,3,8,2,0,0,10
1,3,8,5,2,1,11
1,3,8,6,0,1,10
1,3,8,5,0,0,9
1,3,8,6,0,0,14
0,3,8,5,2,1,10
0,3,8,3,1,0,5
1,3,8,5,1,1,2
0,3,8,8,0,1,20
0,3,8,2,0,1,6
0,3,8,5,0,1,16
0,3,8,6,1,1,3
U,3,8,4,0,0,
0,3,8,4,0,1,16
0,3,8,5,0,1,7
1,3,8,3,0,0,1
0,3,8,4,0,0,7
1,3,8,6,2,0,22
0,3,8,5,0,0,21
0,3,8,5,0,0,15
0,3,8,2,0,0,4
1,3,8,5,1,0,16
1,3,8,3,0,0,19
0,3,8,3,0,0,20
0,3,8,5,0,0,9
1,3,8,5,0,1,5
1,3,8,3,0,1,7
1,3,8,1,1,1,7
1,3,8,3,2,0,17
0,3,8,2,0,1,11
1,3,8,2,0,1,9
0,3,8,6,2,0,13
0,3,8,2,2,0,18
0,3,8,3,2,0,2
0,3,8,3,1,0,14
1,3,8,6,1,1,17
1,3,8,2,0,1,13
1,3,8,5,0,1,4
0,3,8,5,0,1,8
1,3,8,8,2,0,17
0,3,8,5,1,1,7
1,3,8,7,1,1,2
1,3,8,5,0,0,1
1,3,8,6,0,0,9
0,3,8,3,0,1,16
0,3,8,6,1,1,9
0,3,8,8,2,1,4
0,3,8,8,2,0,17
0,3,8,0,2,1,18
0,3,8,7,2,0,12
1,3,8,5,0,1,16
0,3,8,8,2,0,18
1,3,8,4,2,1,10
0,3,8,8,0,1,12
0,3,8,3,0,0,11
1,3,8,2,2,1,6
0,3,8,8,2,0,9
0,3,8,8,0,1,7
1,3,8,5,0,0,13
0,3,8,6,2,0,19
0,3,8,8,2,1,9
1,3,8,3,0,0,6
0,3,8,1,2,1,3
0,3,8,7,0,0,3
0,3,8,3,0,0,7
0,3,8,5,0,0,1
1,3,8,3,0,1,10
1,3,8,6,1,0,5
1,3,8,3,0,0,13
1,3,8,8,0,1,14
1,3,8,2,1,0,6
1,3,8,5,0,1,8
1,3,8,5,2,1,5
1,3,8,6,0,1,10
1,3,8,2,1,1,13
0,3,8,5,0,0,13
1,3,8,2,0,1,16
1,3,8,3,0,0,1
1,3,8,6,0,0,14
1,3,8,6,0,1,13
1,3,8,6,2,1,8
1,3,8,3,0,1,13
U,3,8,4,1,0,
1,3,8,0,0,1,16
0,3,8,7,0,0,4
1,3,8,4,0,0,8
0,3,8,2,1,1,10
0,3,8,6,1,0,19
1,3,8,0,2,1,13
U,3,8,4,0,1,
0,3,8,0,1,0,11
0,3,8,2,0,0,7
1,3,8,6,0,1,14
0,3,8,6,0,1,11
1,3,8,2,0,1,7
1,3,8,5,0,0,17
1,3,8,2,0,0,10
1,3,8,2,0,0,1
0,3,8,6,2,0,5
0,3,8,3,0,1,10
0,3,8,5,0,1,12
1,3,8,3,1,0,20
1,3,8,5,0,1,19
0,3,8,3,0,0,5
0,3,8,4,0,1,13
0,3,8,2,0,0,11
0,3,8,6,0,0,7
0,3,8,3,0,0,11
1,3,8,4,0,1,10
1,3,8,3,0,0,11
0,3,8,2,0,0,4
0,3,8,5,0,1,9
1,3,8,2,0,1,14
1,3,8,2,1,0,3
1,3,8,5,0,0,16
1,3,8,6,2,1,7
1,3,8,5,0,1,15
0,3,8,5,2,1,16
1,3,8,1,0,0,1
U,3,8,4,1,1,
1,3,8,2,0,0,11
0,3,8,7,2,1,16
1,3,8,1,0,0,1
U,3,8,4,1,1,
1,3,8,6,0,1,7
1,3,8,6,0,1,2
0,3,8,3,0,0,13
0,3,8,5,2,1,15
1,3,8,1,1,0,6
0,3,8,3,0,1,12
0,3,8,7,1,1,6
1,3,8,6,2,1,5
1,3,8,2,0,0,12
1,3,8,6,0,0,18
0,3,8,4,0,0,21
1,3,8,3,0,0,8
1,3,8,2,1,0,7
1,3,8,3,0,0,5
1,3,8,8,2,1,17
1,3,8,5,0,1,16
0,3,8,0,2,1,12
0,3,8,7,1,0,19
1,3,8,3,0,0,15
U,3,8,4,0,0,
0,3,8,5,0,1,16
0,3,8,4,0,0,10
1,3,8,1,0,0,6
1,3,8,3,2,0,11
0,3,8,2,1,0,20
1,3,8,5,0,0,17
0,3,8,8,0,0,14
1,3,8,6,0,0,18
0,3,8,9,0,1,13
1,3,8,5,0,0,12
1,3,8,3,0,1,3
1,3,8,2,0,0,8
1,3,8,3,0,0,1
0,3,8,2,0,0,20
0,3,8,1,2,0,11
0,3,8,5,0,1,6
1,3,8,8,0,0,19
1,3,8,0,1,0,11
1,3,8,5,1,1,11
1,3,8,1,0,0,11
1,3,8,2,0,1,9
1,3,8,5,0,1,6
0,3,8,3,2,0,5
0,3,8,7,1,0,20
1,3,8,2,0,0,13
1,3,8,2,0,1,10
1,3,8,5,2,0,2
1,3,8,2,0,1,11
1,3,8,2,1,1,18
1,3,8,6,2,1,4
1,3,8,7,0,1,17
0,3,8,5,2,1,11
0,3,8,6,0,0,20
0,3,8,3,1,0,18
1,3,8,8,0,1,12
1,3,8,2,1,0,9
0,3,8,8,1,0,20
1,2,8,3,1,0,16
0,2,8,5,1,0,6
1,2,8,3,0,0,12
0,2,8,2,2,1,5
1,2,8,8,2,1,2
1,2,8,8,1,0,15
1,2,8,4,2,0,13
1,2,8,6,2,1,14
0,2,8,6,0,1,7
0,2,8,5,2,1,16
1,2,8,2,2,1,2
1,2,8,0,2,0,8
0,2,8,5,0,1,14
0,2,8,2,2,1,17
0,2,8,5,0,0,4
0,2,8,5,0,0,12
1,2,8,6,2,1,3
1,2,8,1,1,1,2
0,2,8,2,0,0,14
1,2,8,2,0,0,20
1,2,8,6,1,0,10
0,2,8,8,2,1,4
0,2,8,2,0,0,13
0,2,8,3,1,1,6
0,2,8,5,1,0,14
0,2,8,6,1,0,7
1,2,8,7,1,1,10
1,2,8,4,1,0,2
0,2,8,5,0,1,21
0,2,8,1,2,0,1
1,2,8,2,0,0,2
1,2,8,7,0,0,22
0,2,8,3,0,1,18
1,2,8,2,2,1,2
1,2,8,2,2,1,12
U,2,8,4,0,0,
0,2,8,6,0,1,11
0,2,8,5,0,1,7
0,2,8,8,1,0,10
1,2,8,2,0,1,15
0,2,8,5,0,1,7
1,2,8,7,0,0,19
0,2,8,8,1,1,9
1,2,8,2,2,0,11
U,2,8,4,0,0,
0,2,8,6,2,0,20
0,2,8,6,2,1,14
1,2,8,7,2,0,13
1,2,8,2,0,0,1
1,2,8,2,2,1,15
1,2,8,5,1,1,14
1,2,8,1,1,1,4
1,2,8,5,2,1,19
1,2,8,5,0,1,5
1,2,8,5,0,1,3
1,2,8,5,2,1,13
1,2,8,8,0,0,15
0,2,8,3,0,1,5
1,2,8,2,0,1,9
1,2,8,6,1,1,13
1,2,8,8,0,1,11
0,2,8,8,0,1,3
1,2,8,5,2,1,19
1,2,8,5,1,1,16
1,2,8,6,2,0,18
U,2,8,4,2,1,
0,2,8,2,2,0,22
0,2,8,2,0,1,6
0,2,8,5,2,1,17
1,2,8,5,0,0,5
0,2,8,4,2,0,3
1,2,8,5,1,0,5
1,2,8,3,1,1,5
0,2,8,7,1,0,10
1,2,8,8,1,1,5
0,2,8,7,2,1,3
0,2,8,2,1,0,15
0,2,8,5,0,1,13
1,2,8,0,1,1,19
0,2,8,6,1,1,9
0,2,8,5,1,1,20
1,2,8,3,2,0,15
1,2,8,3,0,1,14
1,2,8,2,0,1,10
0,2,8,5,0,0,2
0,2,8,5,1,0,3
0,2,8,5,2,1,19
0,2,8,7,0,0,8
1,2,8,0,0,0,9
0,2,8,5,2,0,6
1,2,8,4,0,1,22
0,2,8,1,0,0,15
1,2,8,5,0,1,20
0,2,8,5,1,1,17
1,2,8,6,2,0,22
1,2,8,5,0,0,11
1,2,8,2,0,1,13
0,2,8,3,0,0,18
1,2,8,6,0,1,14
0,2,8,5,2,0,11
0,2,8,7,0,1,15
1,2,8,3,1,0,12
1,2,8,5,0,0,4
0,2,8,2,0,1,9
0,2,8,5,2,1,2
0,2,8,9,0,1,12
1,2,8,9,2,1,16
0,2,8,0,1,1,4
1,2,8,5,2,1,12
1,2,8,6,2,0,19
1,2,8,2,0,1,2
1,2,8,6,1,1,16
1,2,8,3,1,1,7
0,2,8,4,1,0,15
0,2,8,3,0,1,9
0,2,8,3,2,0,11
0,2,8,2,1,0,15
1,2,8,7,2,1,21
0,2,8,6,1,0,5
1,2,8,5,0,1,11
1,2,8,2,2,1,17
1,2,8,1,0,1,14
0,2,8,5,2,1,16
1,2,8,8,0,1,2
1,2,8,6,2,0,10
1,2,8,8,0,1,16
U,2,8,4,0,0,
0,2,8,5,1,0,7
0,2,8,3,0,1,20
0,2,8,6,0,1,9
1,2,8,6,0,0,18
1,2,8,0,0,0,13
1,2,8,3,1,1,19
1,2,8,1,0,1,8
1,2,8,5,0,1,8
0,2,8,5,1,0,3
1,2,8,6,1,0,6
0,2,8,8,1,1,15
0,2,8,5,0,0,1
0,2,8,5,0,1,7
1,2,8,5,1,1,11
1,2,8,9,0,1,9
1,2,8,7,0,0,15
0,2,8,8,1,1,21
1,2,8,3,0,1,10
1,2,8,5,0,1,18
0,2,8,6,0,0,4
0,2,8,2,1,0,9
1,2,8,3,0,1,7
0,2,8,5,0,1,15
1,2,8,8,0,0,6
1,2,8,6,0,1,17
1,2,8,6,0,0,12
1,2,8,5,0,0,1
1,2,8,2,1,0,4
0,2,8,1,1,1,12
1,2,8,2,2,1,8
0,2,8,7,1,1,13
1,2,8,2,2,1,11
1,2,8,2,2,0,19
0,2,8,4,0,1,19
0,2,8,2,1,0,12
0,2,8,8,1,1,5
0,2,8,1,0,0,10
0,2,8,5,0,0,13
1,2,8,6,0,0,15
1,2,8,5,0,0,11
0,2,8,2,0,1,18
1,2,8,3,0,0,16
0,2,8,6,0,1,13
0,2,8,4,2,0,9
1,2,8,3,0,1,6
0,2,8,6,2,1,20
0,2,8,0,0,0,21
1,2,8,6,1,0,9
0,2,8,6,0,0,5
1,2,8,8,2,1,18
0,2,8,8,2,1,12
1,2,8,6,0,1,21
0,2,8,5,0,0,21
0,2,8,2,2,0,8
0,2,8,5,2,1,10
0,2,8,2,1,1,17
0,2,8,2,0,0,8
1,2,8,8,2,0,1
0,2,8,2,1,0,11
0,2,8,2,0,0,10
0,2,8,6,2,1,7
0,2,8,3,0,1,11
0,2,8,5,2,0,4
0,2,8,5,1,1,3
0,2,8,6,0,0,8
1,2,8,6,2,0,1
0,2,8,6,1,0,16
1,2,8,2,1,1,9
1,2,8,5,0,0,18
1,2,8,5,1,0,9
0,2,8,5,2,1,17
1,2,8,7,0,1,10
1,2,8,6,1,0,10
0,2,8,5,1,0,13
1,2,8,2,0,0,20
1,2,8,3,0,1,1
U,2,8,4,1,1,
0,2,8,2,2,0,17
1,2,8,6,1,1,15
1,2,8,3,0,0,9
0,2,8,6,2,1,6
0,2,8,3,2,0,4
1,2,8,3,0,1,5
0,2,8,4,1,1,7
1,2,8,8,0,1,15
1,2,8,3,1,1,4
1,2,8,6,2,0,9
1,2,8,6,0,0,14
1,2,8,2,1,1,6
1,2,8,8,2,1,3
1,2,8,1,1,0,15
1,2,8,8,0,0,7
0,2,8,5,1,1,13
1,2,8,6,1,0,8
1,2,8,7,2,1,11
